Node_ID,Title
ISLPED24,a 386-mu w, 15.2-bit programmable-gain embedded delta-sigma adc for sensor applications
ISLPED25,prediction-guided performance-energy trade-off with continuous run-time adaptation
ISLPED26,multiple combined write-read peripheral assists in 6t finfet srams for low-v-min iot and cognitive applications
ISLPED27,dual mode ferroelectric transistor based non-volatile flip-flops for intermittently-powered systems
ISLPED28,fpga-based acceleration of binary neural network training with minimized off-chip memory access
ISLPED29,compressing sparse ternary weight convolutional neural networks for efficient hardware acceleration
ISLPED30,spin orbit torque device based stochastic multi-bit synapses for on-chip stdp learning
ISLPED31,intrinsic and database-free watermarking in ics by exploiting process and design dependent variability in metal-oxide-metal capacitances
ISLPED32,value-driven synthesis for neural network asics
ISLPED33,better-than-worst-case design methodology for a compact integrated switched-capacitor dc-dc converter
ISLPED34,an energy-efficient high-swing pam-4 voltage-mode transmitter
ISLPED35,app-oriented thermal management of mobile devices
ISLPED36,variation-aware pipelined cores through path shaping and dynamic cycle adjustment: case study on a floating-point unit
ISLPED37,road to high-performance 3d ics: performance optimization methodologies for monolithic 3d ics
ISLPED38,taming the beast: programming peta-flop class deep learning systems
ISLPED39,rethinking last-level-cache write-back strategy for mlc stt-ram main memory with asymmetric write energy
ISLPED40,4-channel push-pull vcsel drivers for hdmi active optical cable in 0.18-mu m cmos
ISLPED41,nnest: early-stage design space exploration tool for neural network inference accelerators
ISLPED42,multi-pattern active cell balancing architecture and equalization strategy for battery packs
ISLPED43,direct: resource-aware dynamic model reconfiguration for convolutional neural network in mobile systems
ISLPED44,trainware: a memory optimized weight update architecture for on-device convolutional neural network training
ISLPED45,input-splitting of large neural networks for power-efficient accelerator with resistive crossbar memory array
ISLPED46,in-situ stochastic training of mtj crossbar based neural networks
ISLPED47,a 65nm switched source line sub-threshold rom using data encoding, with 0.3v v-min and 47fj/b access energy
ISLPED48,automatic gdsii generator for on-chip voltage regulator for easy integration in digital socs
ISLPED49,tier partitioning and flip-flop relocation methods for clock trees in monolithic 3d ics
ISLPED50,non-volatile memory utilizing reconfigurable ferroelectric transistors to enable differential read and energy-efficient in-memory computation
ISLPED51,towards a complete methodology for synthesizing bundled-data asynchronous circuits on fpgas
ISLPED52,an automated approximation methodology for arithmetic circuits
ISLPED53,a(2)m: approximate algebraic memory using polynomials rings
ISLPED54,load-triggered warp approximation on gpu
ISLPED55,dynamic bit-width reconfiguration for energy-efficient deep learning hardware
ISLPED56,designing efficient imprecise adders using multi-bit approximate building blocks
ISLPED57,3dtube: a design framework for high-variation carbon nanotube-based transistor technology
ISLPED58,k-nearest neighbor hardware accelerator using in-memory computing sram
ISLPED59,flash: content-based power-saving design for scrolling operations in browser applications on mobile oled devices
ISLPED60,shine: a novel sha-3 implementation using reram-based in-memory computing
ISLPED61,tea-dnn: the quest for time-energy-accuracy co-optimized deep neural networks
ISLPED62,temperature-aware adaptive vm allocation in heterogeneous data centers
ISLPED63,a compact self-capacitance sensing analog front-end for a touch detection in low-power mode
ISLPED64,power delivery resonant virus: concept and applications
ISLPED65,seco: a scalable accuracy approximate exponential function via cross-layer optimization
ISLPED66,power benefit study of monolithic 3d ic at the 7nm technology node
ISLPED67,battery-aware electric truck delivery route planner
ISLPED68,comparative evaluation of body biasing and voltage scaling for low-power design on 28nm utbb fd-soi technology
ISLPED69,shrimp: efficient instruction delivery with domain wall memory
ISLPED70,in-place repair for resistive memories utilizing complementary resistive switches
ISLPED71,low area, low power, robust, highly sensitive error detecting latch for resilient architectures
ISLPED72,sats: an ultra-low power time synchronization for solar energy harvesting wsns
ISLPED73,software infrastructure for enabling fpga-based accelerations in data centers
ISLPED74,measurement-driven methodology for evaluating processor heterogeneity options for power-performance efficiency
ISLPED75,muffin: minimally-buffered zero-delay power-gating technique in on-chip routers
ISLPED76,comphd: efficient hyperdimensional computing using model compression
ISLPED77,terahertz technology and its applications: is it all hype?
ISLPED78,domain wall memory based convolutional neural networks for bit-width extendability and energy-efficiency
ISLPED79,modeling and implementation of a fully-digital integrated per-core voltage regulation system in a 28nm high performance 64-bit processor
ISLPED80,addressing temporal variations in qubit quality metrics for parameterized quantum circuits
ISLPED81,exploring the relation between monolithic 3d ll gpu cache capacity and warp scheduling efficiency
ISLPED82,bottlenet: a deep learning architecture for intelligent mobile cloud computing services
ISLPED83,efficient and secure group key management in iot using multistage interconnected puf
ISLPED84,ace-gpu: tackling choke point induced performance bottlenecks in a near-threshold computing gpu
ISLPED85,messagefusion: on-path message coalescing for energy efficient and scalable graph analytics
ISLPED86,tip: a temperature effect inversion-aware ultra-low power system-on-chip platform
ISLPED87,mixnet: an energy-scalable and computationally lightweight deep learning accelerator
ISLPED88,a logic compatible 4t dual embedded dram array for in-memory computation of deep neural networks
ISLPED89,deploying customized data representation and approximate computing in machine learning applications
ISLPED90,pareto-optimal power- and cache-aware task mapping for many-cores with distributed shared last-level cache
ISLPED91,across the stack opportunities for deep learning acceleration
ISLPED92,therma: thermal-aware run-time thread migration for nanophotonic interconnects
ISLPED93,os-based resource accounting for asynchronous resource use in mobile systems
ISLPED94,fvcag: a framework for formal verification driven power modeling and verification
ISLPED95,exploiting fully integrated inductive voltage regulators to improve side channel resistance of encryption engines
ISLPED96,teleprobe: zero-power contactless probing for implantable medical devices
ISLPED97,a programmable analog-to-information converter for agile biosensing
ISLPED98,ferroelectric transistor based non-volatile flip-flop
ISLPED99,rmac: runtime configurable floating point multiplier for approximate computing
ISLPED100,insights from biology: low power circuits in the fruit fly
ISLPED101,a heuristic machine learning-based algorithm for power and thermal management of heterogeneous mpsocs
ISLPED102,energy efficient scheduling for web search on heterogeneous microservers
ISLPED103,drvs: power-efficient reliability management through dynamic redundancy and voltage scaling under variations
ISLPED104,scalable auto-tuning of synthesis parameters for optimizing high-performance processors
ISLPED105,unified power frequency model framework
ISLPED106,a li-ion battery charge protocol with optimal aging-quality of service trade-off
ISLPED107,analysis and design of energy efficient time domain signal processing
ISLPED108,dynsleep: fine-grained power management for a latency-critical data center application
ISLPED109,soft response generation and thresholding strategies for linear and feed-forward mux pufs
ISLPED110,information leakage attacks on emerging non-volatile memory and countermeasures
ISLPED111,innovation for future connected compute
ISLPED112,a robust and energy-efficient classifier using brain-inspired hyperdimensional computing
ISLPED113,delight: adding energy dimension to deep neural networks
ISLPED114,coordinating communication, technology and design in the iot era
ISLPED115,a low power current-mode flash adc with spin hall effect based multi-threshold comparator
ISLPED116,overview of ieee1801-2015: standard for design and verification of low-power, energy-aware electronic systems
ISLPED117,battery-aware energy model of drone delivery tasks
ISLPED118,aggressive slack recycling via transparent pipelines
ISLPED119,dynamic approximation with feedback control for energy-efficient recurrent neural network hardware
ISLPED120,dynamic voltage scaling using scene change detection for video playback on mobile amoled displays
ISLPED121,a fully parameterizable low power design of vector fused multiply-add using active clock-gating techniques
ISLPED122,socialhbc: social networking and secure authentication using interference-robust human body communication
ISLPED123,reducing power consumption of gpgpus through instruction reordering
ISLPED124,a light-powered, always-on, smart camera with compressed domain gesture detection
ISLPED125,an energy-aware approach to noise-robust moving object detection for low-power wireless image sensor platforms
ISLPED126,on effective and efficient quality management for approximate computing
ISLPED127,a low-energy inductive transceiver using spike-latency encoding for wireless 3d integration
ISLPED128,autonomous i/o for intermittent iot systems
ISLPED129,cnn-based camera-less user attention detection for smartphone power management
ISLPED130,improving energy efficiency by memoizing data access information
ISLPED131,a sound activity detector embedded low-power mems microphone readout interface for speech recognition
ISLPED132,an ultra-efficient memristor-based dnn framework with structured weight pruning and quantization using admm
ISLPED133,can we guarantee performance requirements under workload and process variations?
ISLPED134,an efficient parallel scheduling scheme on multi-partition pcm architecture
ISLPED135,similarity-based lstm architecture for energy-efficient edge-level speech recognition
ISLPED136,hr(3)am: a heat resilient design for rram-based neuromorphic computing
ISLPED137,fixing sensor-related energy bugs through automated sensing policy instrumentation
ISLPED138,an energy efficient and low cross-talk cmos sub-thz i/o with surface-wave modulator and interconnect
ISLPED139,an optimal power supply and body bias voltage for a ultra low power micro-controller with silicon on thin box mosfet
ISLPED140,reference-circuit analysis for high-bandwidth spin transfer torque random access memory
ISLPED141,clink: compact lstm inference kernel for energy efficient neurofeedback devices
ISLPED142,efficient image sensor subsampling for dnn-based image classification
ISLPED143,threshold defined camouflaged gates in 65nm technology for reverse engineering protection
ISLPED144,a monolithic-3d sram design with enhanced robustness and in-memory computation support
ISLPED145,gas a heterogeneous memory architecture for graph processing
ISLPED146,enhancing dram self-refresh for idle power reduction
ISLPED147,dissecting xeon plus fpga why the integration of cpus and fpgas makes a power difference for the datacenter
ISLPED148,comprehensive analysis, modeling and design for hold-timing resiliency in voltage scalable design
ISLPED149,benchmarking of monolayer and bilayer two-dimensional transition metal dichalcogenide (tmd) based logic circuits and 6t sram cells
ISLPED150,local learning in rram neural networks with sparse direct feedback alignment
ISLPED151,vcam: variation compensation through activation matching for analog binarized neural networks
ISLPED152,concurrent multipoint-to-multipoint communication on interposer channels
ISLPED153,a design framework for thermal-aware power delivery network in 3d mpsocs with integrated flow cell arrays
ISLPED154,modeling and optimization of chip cooling with two-phase vapor chambers
ISLPED155,a simulation framework for rapid prototyping and evaluation of thermal mitigation techniques in many-core architectures
ISLPED156,the digital bidirectional function as a hardware security primitive: architecture and applications
ISLPED157,an energy-efficient puf design: computing while racing
ISLPED158,an energy-efficient computational model for uncertainty management in dynamically changing networked wearables
ISLPED159,enhanced 3d implementation of an arm (r) cortex (r)-a microprocessor
ISLPED160,an efficient dvs scheme for on-chip networks using reconfigurable virtual channel allocators
ISLPED161,battery-aware energy-optimal electric vehicle driving management
ISLPED162,acam: approximate computing based on adaptive associative memory with online learning
ISLPED163,normally-off stt-mram cache with zero-byte compression for energy efficient last-level caches
ISLPED164,hicap: hierarchical fsm-based dynamic integrated cpu-gpu frequency capping governor for energy-efficient mobile gaming
ISLPED165,how to cope with slow transistors in the top-tier of monolithic 3d ics: design studies and cad solutions
ISLPED166,bit serializing a microprocessor for ultra-low-power
ISLPED167,post placement leakage reduction with stress-enhanced filler cells
ISLPED168,making sense of thermoelectrics for processor thermal management and energy harvesting
ISLPED169,reducing display power consumption for real-time video calls on mobile devices
ISLPED170,modeling and characterization of the system-level power delivery network for a dual-core arm cortex-a57 cluster in 28nm cmos
ISLPED171,powertrain: a learning-based calibration of mcpat power models
ISLPED172,leveraging emerging nonvolatile memory in high-level synthesis with loop transformations
ISLPED173,experimental characterization of in-package microfluidic cooling on a system-on-chip
ISLPED174,a probabilistic approach to energy-constrained mixed-criticality systems
ISLPED175,ncfet-aware voltage scaling
ISLPED176,balancing memory accesses for energy-efficient graph analytics accelerators
ISLPED177,lucid infrared thermography of thermally-constrained processors
ISLPED178,hierarchical power budgeting for dark silicon chips
ISLPED179,design of fine-grained sequential approximate circuits using probability-aware fault emulation
ISLPED180,cgsharing: efficient content sharing in gpu-based cloud gaming
ISLPED181,hardware-software interaction for run-time power optimization: a case study of embedded linux on multicore smartphones
ISLPED182,having your cake and eating it too: energy savings without performance loss through resource sharing driven power management
ISLPED183,a win-win camera: quality-enhanced power-saving images on mobile oled displays
ISLPED184,freqleak: a frequency step based method for efficient leakage power characterization in a system
ISLPED185,low-power detection of sternocleidomastoid muscle contraction for asthma assessment and control
ISLPED186,optimizing boolean embedding matrix for compressive sensing in rram crossbar
ISLPED187,enhancing the energy efficiency of journaling file system via exploiting multi-write modes on mlc nvram
ISLPED188,axtrain: hardware-oriented neural network training for approximate inference
ISLPED189,compact convolution mapping on neuromorphic hardware using axonal delay
ISLPED190,breaking pops/j barrier with analog multiplier circuits based on nonvolatile memories
ISLPED191,a low-power 4096x2160@30fps h.265/hevc video encoder for smart video surveillance
ISLPED192,collaborative gate implementation selection and adaptivity assignment for robust combinational circuits
ISLPED193,tackling voltage emergencies in noc through timing error resilience
ISLPED194,a novel slope detection technique for robust sttram sensing
ISLPED195,a power-aware digital feedforward neural network platform with backpropagation driven approximate synapses
ISLPED196,enabling energy efficient hybrid memory cube systems with erasure codes
ISLPED197,a compact low-power edram-based noc buffer
ISLPED198,reducing dynamic energy of set-associative l1 instruction cache by early tag lookup
ISLPED199,four-tier monolithic 3d ics: tier partitioning methodology and power benefit study
ISLPED200,physical design solutions to tackle feol/beol degradation in gate-level monolithic 3d ics
ISLPED201,speeding up convolutional neural network training with dynamic precision scaling and flexible multiplier-accumulator
ISLPED202,performance impact of magnetic and thermal attack on sttram and low-overhead mitigation techniques
ISLPED203,voltage noise induced dram soft error reduction technique for 3d-cpus
ISLPED204,t-dvs: temperature-aware dvs based on temperature inversion phenomenon
ISLPED205,energy-efficient adaptive classifier design for mobile systems
ISLPED206,energy-efficient cnn implementation on a deeply pipelined fpga cluster
ISLPED207,thermtap: an online power analyzer and thermal simulator for android devices
ISLPED208,energy stealing - an exploration into unperceived activities on mobile systems
ISLPED209,fully-integrated switched-capacitor voltage regulator with on-chip current-sensing and workload optimization in 32nm soi cmos
ISLPED210,power management in the intel xeon e5 v3
ISLPED211,power-efficient embedded processing with resilience and real-time constraints
ISLPED212,heterogeneous computing and infrastructure for energy efficiency in microsoft data centers
ISLPED213,dynamic spike bundling for energy-efficient spiking neural networks
ISLPED214,on trade-off between static and dynamic power consumption in noc power gating
ISLPED215,data-driven low-cost on-chip memory with adaptive power-quality trade-off for mobile video streaming
ISLPED216,stock: stochastic checkers for low-overhead approximate error detection
ISLPED217,adaptive sprinting: how to get the most out of phase change based passive cooling
ISLPED218,regenerative breaking: recovering stored energy from inactive voltage domains for energy-efficient systems-on-chip
ISLPED219,coast: correlated material assisted stt mrams for optimized read operation
ISLPED220,design and optimization of a reconfigurable power delivery network for large-area, dvs-enabled oled displays
ISLPED221,a micropower energy harvesting circuit with piezoelectric transformer-based ultra-low voltage start-up
ISLPED222,interconnect synthesis of heterogeneous accelerators in a shared memory architecture
ISLPED223,redeem: a heterogeneous distributed microarchitecture for energy-efficient reliability
ISLPED224,dvas: dynamic voltage accuracy scaling for increased energy-efficiency in approximate computing
ISLPED225,hybrid approximate multiplier architectures for improved power-accuracy trade-offs
ISLPED226,high-efficiency crossbar switches using capacitively coupled signaling
ISLPED227,dynamic power management for many-core platforms in the dark silicon era: a multi-objective control approach
ISLPED228,design and analysis of 6-t 2-mtj ternary content addressable memory
ISLPED229,power management for mobile games on asymmetric multi-cores
ISLPED230,modeling and power optimization of cyber-physical systems with energy-workload tradeoff
ISLPED231,transient voltage noise in charge-recycled power delivery networks for many-layer 3d-ic
ISLPED232,design and implementation of a 4kb stt-mram with innovative 200nm nano-ring shaped mtj
ISLPED233,extending the moore's law by exploring new data center architecture
ISLPED234,design and implementation of nonvolatile power-gating sram using sotb technology
ISLPED235,fine-grained write scheduling for pcm performance improvement under write power budget
ISLPED236,reconfigurable three dimensional photovoltaic panel architecture for solar-powered time extension
ISLPED237,analysis of adaptive clocking technique for resonant supply voltage noise mitigation
ISLPED238,bank stealing for conflict mitigation in gpgpu register file
ISLPED239,exploring power attack protection of resource constrained encryption engines using integrated low-drop-out regulators
ISLPED240,a neuromorphic neural spike clustering processor for deep-brain sensing and stimulation systems
ISLPED241,analysis and optimization of cmos switched-capacitor converters
ISLPED242,shiftmask: dynamic oled power shifting based on visual acuity for interactive mobile applications
ISLPED243,spin-torque sensors with differential signaling for fast and energy efficient global interconnects
ISLPED244,a data remanence based approach to generate 100% stable keys from an sram physical unclonable function
ISLPED245,secure human-internet using dynamic human body communication
ISLPED246,workload-driven frequency-aware battery sizing
ISLPED247,transistor-level monolithic 3d standard cell layout optimization for full-chip static power integrity
ISLPED248,invited paper: ultra-low energy security circuit primitives for iot platforms
ISLPED249,sceneman: bridging mobile apps with system energy manager via scenario notification
ISLPED250,low power in-memory computing based on dual-mode sot-mram
ISLPED251,quark: quality-configurable approximate stt-mram cache by fine-grained tuning of reliability-energy knobs
ISLPED252,power optimizations in mtj-based neural networks through stochastic computing
ISLPED253,a case for efficient accelerator design space exploration via bayesian optimization
ISLPED254,comparative study and optimization of synchronous and asynchronous comparators at near-threshold voltages
ISLPED255,a tunable ultra low power inductorless low noise amplifier exploiting body biasing of 28 nm fdsoi technology
ISLPED256,charge recycled low power sram with integrated write and read assist, for wearable electronics, designed in 7nm finfet
ISLPED257,a 0.13pj/bit, referenceless transceiver with clock edge modulation for a wired intra-ban communication
ISLPED258,full chip power benefits with negative capacitance fets
ISLPED259,invited paper: resilient and energy-secure power management
ISLPED260,gabor filter assisted energy efficient fast learning convolutional neural networks
ISLPED261,bit-width reduction and customized register for low cost convolutional neural network accelerator
ISLPED262,senin: an energy-efficient sparse neuromorphic system with on-chip learning
ISLPED263,xnor-pop: a processing-in-memory architecture for binary convolutional neural networks in wide-i02 drams
ISLPED264,enabling efficient fine-grained dram activations with interleaved i/o
ISLPED265,spatial and temporal scheduling of clock arrival times for ir hot-spot mitigation, reformulation of peak current reduction
ISLPED266,approximate memory compression for energy-efficiency
ISLPED267,e-spector: online energy inspection for android applications
ISLPED268,efficient thermoelectric cooling for mobile devices
ISLPED269,low design overhead timing error correction scheme for elastic clock methodology
ISLPED270,exploring sparsity of firing activities and clock gating for energy-efficient recurrent spiking neural processors
ISLPED271,a carbon nanotube transistor based risc-v processor using pass transistor logic
ISLPED272,online tuning of dynamic power management for efficient execution of interactive workloads
ISLPED273,monolithic 3d ic designs for low-power deep neural networks targeting speech recognition
ISLPED274,a learning bridge from architectural synthesis to physical design for exploring power efficient high-performance adders
ISLPED275,a low power duobinary voltage mode transmitter
ISLPED276,efficient query processing in crossbar memory
ISLPED277,temporal codes in on-chip interconnects
ISLPED278,design high bandwidth-density, low latency and energy efficient on-chip interconnect
ISLPED279,reconfigurable thermoelectric generators for vehicle radiators energy harvesting
ISLPED280,battery assignment and scheduling for drone delivery businesses
ISLPED281,frequency and time domain analysis of power delivery network for monolithic 3d ics
ISLPED282,axserbus: a quality-configurable approximate serial bus for energy-efficient sensing
ISLPED283,a programmable event-driven architecture for evaluating spiking neural networks
ISLPED284,signal strength-aware adaptive offloading for energy efficient mobile devices
ISLPED285,tiguan: energy-aware collision-free control for large-scale connected vehicles
ISLPED286,a simple yet efficient accuracy configurable adder design
ISLPED287,coral: coarse-grained reconfigurable architecture for convolutional neural networks
ISLPED288,placement mitigation techniques for power grid electromigration
ISLPED289,write-energy-saving reram-based nonvolatile sram with redundant bit-write-aware controller for last-level caches
ISLPED290,invited paper: low power requirements and side-channel protection of encryption engines: challenges and opportunities
ISLPED291,architecting large-scale sram arrays with monolithic 3d integration
ISLPED292,hotspot monitoring and temperature estimation with miniature on-chip temperature sensors
ISLPED293,invited paper: secure swarm intelligence: a new approach to many-core power management
ISLPED294,an improved clocking methodology for energy efficient low area aes architectures using register renaming
ISLPED295,a low-power apuf-based environmental abnormality detection framework
ISLPED296,a 32nm, 0.65-10ghz, 0.9/0.3 ps/sigma tx/rx jitter single inductor digital fractional-n clock generator for reconfigurable serial i/o
ISLPED297,an energy-efficient and high-throughput bitwise cnn on sneak-path-free digital reram crossbar
ISLPED298,h frequency governors for cloud database oltp workloads
ISLPED299,unified embedded non-volatile memory for emerging mobile markets
ISLPED300,the new (system) balance of power and opportunities for optimizations
ISLPED301,process and design solutions for exploiting fd-soi technology towards energy efficient socs
ISLPED302,design and cad methodologies for low power gate-level monolithic 3d ics
ISLPED303,qpr.js: a runtime framework for qos-aware power optimization for parallel javascript programs
ISLPED304,accelerator-rich architectures - from single-chip to datacenters
ISLPED305,gpuvolt: modeling and characterizing voltage noise in gpu architectures
ISLPED306,a deterministic-dither-based, all-digital system for on-chip power supply noise measurement
ISLPED307,ultra-low voltage mixed tfet-mosfet 8t sram cell
ISLPED308,eecache: exploiting design choices in energy-efficient last-level caches for chip multiprocessors
ISLPED309,empirically derived abstractions in uncore power modeling for a server-class processor chip
ISLPED310,therminator: a thermal simulator for smartphones producing accurate chip and skin temperature maps
ISLPED311,tone: adaptive temperature optimization for the next generation video encoders
ISLPED312,analysis and optimization of in-situ error detection techniques in ultra-low-voltage pipeline
ISLPED313,smart butterfly: reducing static power dissipation of network-on-chip with core-state-awareness
ISLPED314,sleep-aware variable partitioning for energy-efficient hybrid pram and dram main memory
ISLPED315,variation tolerant design of a vector processor for recognition, mining and synthesis
ISLPED316,gated low-power clock tree synthesis for 3d-ics
ISLPED317,approximate compressed sensing: ultra-low power biosignal processing via aggressive voltage scaling on a hybrid memory multi-core processor
ISLPED318,intelligent frame refresh for energy-aware display subsystems in mobile devices
ISLPED319,failing to fail - achieving success in advanced low power design using upf
ISLPED320,reconfigurable regenerator-based interconnect design for ultra-dynamic-voltage-scaling systems
ISLPED321,thermal-aware layout planning for heterogeneous datacenters
ISLPED322,challenges in low-power analog circuit design for sub-28nm cmos technologies
ISLPED323,software canaries: software-based path delay fault testing for variation-aware energy-efficient design
ISLPED324,an open-source framework for formal specification and simulation of electrical energy systems
ISLPED325,an on-chip autonomous thermoelectric energy management system for energy-efficient active cooling
ISLPED326,making b+-tree efficient in pcm-based main memory
ISLPED327,a bipolar +/- 40 mv self -starting boost converter with transformer reuse for thermoelectric energy harvesting
ISLPED328,an energy-efficient 2.5d through-silicon interposer i/o with self-adaptive adjustment of output-voltage swing
ISLPED329,a digital dynamic write margin sensor for low power read/write operations in 28nm sram
ISLPED330,storm: a stochastic recognition and mining processor
ISLPED331,casa: correlation-aware speculative adders
ISLPED332,min: a power efficient mechanism to mitigate the impact of process variations on nanophotonic networks
ISLPED333,tunnel fet-based design ultra-low power, low-noise amplifier for bio-signal acquisition
ISLPED334,leakage mitigation techniques in smartphone socs
ISLPED335,low power design techniques in mobile processes
ISLPED336,quasi-resonant clocking: a run-time control approach for true voltage-frequency-scalability
ISLPED337,a model for array-based approximate arithmetic computing with application to multiplier and squarer design
ISLPED338,quantifying the impact of variability on the energy efficiency for a next-generation ultra-green supercomputer
ISLPED339,2.3 ppm/z 40 nw mosfet-only voltage reference
ISLPED340,spindle: spintronic deep learning engine for large-scale neuromorphic computing
ISLPED341,design exploration of racetrack lower-level caches
ISLPED342,efficient nbti modeling technique considering recovery effects
ISLPED343,impact of process variation in inductive integrated voltage regulator on delay and power of digital circuits
ISLPED344,synergistic circuit and system design for energy-efficient and robust domain wall caches
ISLPED345,content-driven memory pressure balancing and video memory power management for parallel high efficiency video coding
ISLPED346,unlocking the true potential of 3d cpus with micro-fluidic cooling
ISLPED347,axnn: energy-efficient neuromorphic systems using approximate computing
ISLPED348,performance modeling for emerging interconnect technologies in cmos and beyond-cmos circuits
ISLPED349,energy-efficient dot product computation using a switched analog circuit architecture
ISLPED350,edram-based tiered-reliability memory with applications to low-power frame buffers
ISLPED351,ecolaser: an adaptive laser control for energy-efficient on-chip photonic interconnects
ISLPED352,a-sad: power efficient sad calculator for real time h.264 video encoder using msb-approximation technique
ISLPED353,a memory rename table to reduce energy and improve performance
ISLPED354,enabling high-performance lpddrx-compatible mram
ISLPED355,a case for leveraging 802.11p for direct phone-to-phone communications
