IOT1 , IEEE_Access189
ISLPED933 , ISLPED688
ISLPED933 , DAC231
ISLPED933 , DATE198
ISLPED933 , DATE542
ISLPED933 , IEEE_TCADICS109
ISLPED933 , IEEE_TCADICS111
ISLPED933 , ISQED2
ISLPED938 , IEEE_TVLSI43
ISLPED939 , ISLPED597
ISLPED939 , IEEE_Journal_Solid_State310
ISLPED939 , IEEE_TCADICS91
ISLPED940 , ISLPED1134
ISLPED940 , DATE16
ISLPED941 , ISLPED123
ISLPED941 , ISLPED309
ISLPED941 , DATE115
ISLPED941 , ACM_TODAES22
ISLPED941 , ACM_TODAES41
ISLPED941 , NOCs3
ISLPED941 , ACM_TACO1
ISLPED942 , DATE347
ISLPED942 , HPCA37
ISLPED945 , ISLPED169
ISLPED945 , ISLPED318
ISLPED945 , ISLPED449
ISLPED945 , ISLPED589
ISLPED945 , ISLPED905
ISLPED945 , ISLPED986
ISLPED945 , DAC12
ISLPED945 , DATE285
ISLPED945 , ACM_TODAES59
ISLPED945 , Mobisys9
ISLPED947 , ISLPED1141
ISLPED947 , DAC122
ISLPED947 , ISCAS54
ISLPED947 , IEEE_Journal_Solid_State366
ISLPED947 , IEEE_TVLSI84
ISLPED948 , DAC163
ISLPED948 , ACM_TODAES19
ISLPED949 , DATE450
ISLPED950 , ISLPED467
ISLPED950 , ISLPED1105
ISLPED951 , DAC154
ISLPED951 , IEEE_TCADICS91
ISLPED951 , GLSVLSI117
ISLPED952 , ISLPED685
ISLPED952 , DAC239
ISLPED952 , IEEE_Journal_Solid_State440
ISLPED953 , ISLPED484
ISLPED953 , ISLPED497
ISLPED953 , MICROELECTRONICS4
ISLPED954 , ISLPED1073
ISLPED954 , DAC14
ISLPED954 , DAC140
ISLPED954 , IEEE_TCADICS23
ISLPED955 , IEEE_TVLSI119
ISLPED960 , ISLPED548
ISLPED960 , DAC313
ISLPED960 , ACM_TODAES41
ISLPED961 , ISLPED580
ISLPED962 , ISLPED673
ISLPED964 , DATE249
ISLPED966 , ISLPED908
ISLPED968 , ISLPED955
ISLPED968 , DAC119
ISLPED968 , IEEE_TVLSI27
ISLPED968 , IEEE_TVLSI105
ISLPED968 , IEEE_TVLSI119
ISLPED968 , IEEE_TVLSI128
ISLPED968 , IEEE_TVLSI132
ISLPED968 , IEEE_TCADICS50
ISLPED968 , HPCA39
ISLPED968 , JCSC6
ISLPED971 , ACM_TECS22
ISLPED972 , DATE450
ISLPED972 , DATE519
ISLPED973 , DAC163
ISLPED973 , ACM_TODAES19
ISLPED978 , ISLPED953
ISLPED978 , ISLPED1063
ISLPED978 , DAC87
ISLPED978 , DATE354
ISLPED978 , IEEE_TVLSI55
ISLPED979 , ISLPED581
ISLPED979 , ISLPED1014
ISLPED979 , IEEE_TVLSI3
ISLPED980 , ISLPED500
ISLPED980 , ISLPED1008
ISLPED981 , ISLPED913
ISLPED981 , ISLPED958
ISLPED981 , IEEE_TCOMP51
ISLPED986 , DAC12
ISLPED988 , ISLPED456
ISLPED988 , ISLPED660
ISLPED989 , ISCA33
ISLPED989 , HPCA46
ISLPED991 , ISLPED998
ISLPED991 , IEEE_TVLSI73
ISLPED991 , IEEE_TCADICS88
ISLPED993 , ISLPED1116
ISLPED995 , ISLPED830
ISLPED995 , ISLPED1084
ISLPED995 , DAC81
ISLPED1004 , DAC148
ISLPED1009 , ISLPED511
ISLPED1009 , ISLPED1013
ISLPED1009 , ISLPED1053
ISLPED1009 , DAC28
ISLPED1009 , DAC29
ISLPED1009 , DAC157
ISLPED1009 , DAC319
ISLPED1009 , DATE16
ISLPED1009 , DATE170
ISLPED1009 , DATE480
ISLPED1009 , IEEE_TVLSI37
ISLPED1009 , IEEE_TVLSI55
ISLPED1009 , ACM_TECS22
ISLPED1009 , ACM_TODAES5
ISLPED1009 , ACM_TODAES24
ISLPED1009 , ACM_TODAES33
ISLPED1009 , HPCA66
ISLPED1009 , ACM_TACO1
ISLPED1009 , ACM_TACO2
ISLPED1009 , ACM_TACO3
ISLPED1009 , ACM_TACO4
ISLPED1009 , ACM_TACO5
ISLPED1009 , ACM_TACO6
ISLPED1009 , ACM_TACO7
ISLPED1010 , DATE382
ISLPED1011 , ISLPED519
ISLPED1012 , ISLPED904
ISLPED1012 , ISLPED982
ISLPED1012 , JOLPE13
ISLPED1013 , ISLPED605
ISLPED1013 , DAC89
ISLPED1013 , ACM_TODAES33
ISLPED1013 , NOCs3
ISLPED1014 , DATE641
ISLPED1017 , ISLPED571
ISLPED1017 , JOLPE4
ISLPED1017 , JOLPE11
ISLPED1018 , DAC61
ISLPED1018 , IEEE_TCADICS33
ISLPED1018 , ACM_TECS4
ISLPED1018 , ACM_TECS16
ISLPED1018 , ACM_TODAES12
ISLPED1018 , ACM_TODAES59
ISLPED1019 , ISLPED598
ISLPED1019 , DAC228
ISLPED1019 , ASPDAC58
ISLPED1019 , HPCA56
ISLPED1019 , GLSVLSI161
ISLPED1021 , ISLPED312
ISLPED1021 , DAC1
ISLPED1021 , DATE139
ISLPED1021 , IEEE_Journal_Solid_State310
ISLPED1021 , IEEE_TCADICS88
ISLPED1021 , IEEE_TCADICS91
ISLPED1022 , ISLPED477
ISLPED1024 , ISLPED723
ISLPED1024 , IEEE_TCOMP58
ISLPED1025 , DAC27
ISLPED1025 , ACM_TODAES25
ISLPED1027 , ISLPED989
ISLPED1027 , ISLPED1072
ISLPED1027 , ISLPED1076
ISLPED1034 , IEEE_TCADICS18
ISLPED1034 , JOLPE40
ISLPED1034 , IEEE_TPDS8
ISLPED1035 , ISLPED802
ISLPED1036 , DAC46
ISLPED1036 , DAC275
ISLPED1037 , DAC215
ISLPED1038 , ACM_TODAES36
ISLPED1038 , IEEE_TPDS6
ISLPED1042 , ISLPED497
ISLPED1042 , DAC81
ISLPED1042 , DAC274
ISLPED1042 , ISQED7
ISLPED1042 , ISQED32
ISLPED1048 , ISLPED689
ISLPED1048 , ISLPED807
ISLPED1048 , ISLPED882
ISLPED1048 , ISLPED1041
ISLPED1048 , ISLPED1113
ISLPED1048 , DAC14
ISLPED1048 , IEEE_TVLSI83
ISLPED1048 , IEEE_TCADICS62
ISLPED1048 , ACM_TECS14
ISLPED1048 , ACM_TECS16
ISLPED1048 , ACM_TODAES30
ISLPED1049 , ISLPED794
ISLPED1049 , IEEE_TVLSI61
ISLPED1051 , DATE352
ISLPED1052 , ISLPED818
ISLPED1053 , ISLPED951
ISLPED1053 , ISLPED985
ISLPED1053 , DATE354
ISLPED1053 , IEEE_TVLSI71
ISLPED1056 , ISLPED511
ISLPED1056 , ISLPED831
ISLPED1057 , ISLPED528
ISLPED1057 , ISLPED861
ISLPED1057 , ISLPED1041
ISLPED1057 , DATE669
ISLPED1057 , IEEE_TVLSI61
ISLPED1057 , IEEE_TCADICS33
ISLPED1057 , IEEE_TCADICS35
ISLPED1057 , IEEE_TCADICS62
ISLPED1057 , IEEE_TCADICS111
ISLPED1057 , ACM_TECS14
ISLPED1057 , ACM_TODAES12
ISLPED1057 , IEEE_TCOMP59
ISLPED1060 , DAC61
ISLPED1060 , ACM_TECS4
ISLPED1060 , ACM_TECS16
ISLPED1060 , ACM_TODAES36
ISLPED1061 , ISLPED544
ISLPED1063 , DATE547
ISLPED1064 , ISLPED277
ISLPED1064 , HPCA42
ISLPED1065 , ISLPED466
ISLPED1065 , ISLPED514
ISLPED1065 , ISLPED531
ISLPED1065 , ISLPED715
ISLPED1065 , DAC19
ISLPED1065 , DATE198
ISLPED1065 , ACM_TODAES42
ISLPED1065 , GLSVLSI27
ISLPED1066 , ISLPED908
ISLPED1066 , ISLPED922
ISLPED1066 , IEEE_TVLSI37
ISLPED1069 , ISLPED504
ISLPED1069 , ISLPED641
ISLPED1069 , ISLPED737
ISLPED1069 , ISLPED860
ISLPED1069 , DAC181
ISLPED1069 , DATE267
ISLPED1069 , ACM_TECS21
ISLPED1069 , ACM_TECS22
ISLPED1069 , ACM_TODAES32
ISLPED1070 , ISLPED1110
ISLPED1071 , DAC163
ISLPED1071 , DAC228
ISLPED1071 , DATE260
ISLPED1071 , ASPDAC15
ISLPED1071 , GLSVLSI161
ISLPED1072 , DAC138
ISLPED1072 , DATE617
ISLPED1072 , IEEE_TVLSI68
ISLPED1072 , ISQED11
ISLPED1075 , ISLPED421
ISLPED1075 , ISLPED519
ISLPED1075 , ISLPED613
ISLPED1075 , ISLPED615
ISLPED1075 , DAC80
ISLPED1075 , IEEE_TVLSI50
ISLPED1075 , IEEE_TCAS3
ISLPED1075 , ACM_TECS29
ISLPED1075 , ACM_TECS30
ISLPED1075 , Sensys8
ISLPED1076 , ISLPED1072
ISLPED1076 , DAC138
ISLPED1076 , IEEE_TVLSI61
ISLPED1076 , IEEE_TVLSI63
ISLPED1076 , IEEE_TVLSI68
ISLPED1076 , JOLPE31
ISLPED1076 , JOLPE39
ISLPED1076 , ISQED11
ISLPED1078 , ISLPED853
ISLPED1078 , ISLPED961
ISLPED1080 , ISLPED365
ISLPED1080 , ISLPED470
ISLPED1080 , ISLPED523
ISLPED1080 , ISLPED745
ISLPED1080 , DAC121
ISLPED1080 , IEEE_Journal_Solid_State220
ISLPED1080 , IEEE_Journal_Solid_State302
ISLPED1080 , IEEE_Journal_Solid_State425
ISLPED1080 , IEEE_TCAS80
ISLPED1082 , ISLPED605
ISLPED1082 , ISLPED736
ISLPED1084 , ISLPED747
ISLPED1088 , IEEE_Journal_Solid_State3
ISLPED1089 , ISLPED825
ISLPED1089 , ISLPED945
